1.1. 不住寂靜法則
- 依此基礎修習八支聖道，並應多次修習。
580.1.2 修行成就之相
- 依戒修習八支聖道，能令諸法生長、增大、增長、廣大。
580.2. 八支聖道修習要領
580.2.1 修習之核心原則
- 修習每一支分時，皆須依循三項原則：依遠離、依離貪、依滅盡。
- 所有修習最終皆應迴向於捨。
580.2.2 八支聖道具體項目
- 正見
- 正思惟
- 正語
- 正業
- 正命
- 正精進
- 正念
- 正定
580.3. 法則應用說明
580.3.1 普遍適用性
- 上述核心修習原則（依遠離、依離貪、依滅盡，迴向於捨）普遍適用於八支聖道的每一支分。
- 每一支分的修習都必須完整貫徹此三原則一目標。

581.1. 八支聖道的修習原則
581.1.1 修習的根本方法
- 依遠離而修習
- 依離貪而修習
- 依滅盡而修習
- 迴向於捨而修習
581.1.2 八支聖道的具體內容
- 正見
- 正思惟
- 正語
- 正業
- 正命
- 正精進
- 正念
- 正定
581.2. 修習八支聖道的核心成果
581.2.1 導向涅槃
- 持續修習八支聖道，自然會朝向、傾向並臨近涅槃
581.2.2 斷除惡法
- 持續修習八支聖道，必定能徹底去除原有的惡不善法且不再回復
581.2.3 現證涅槃
- 以正確的見解為基礎
- 正確地修習聖道
- 破除無明而生起智慧
- 當下體證涅槃境界
581.3. 法則的普遍應用
581.3.1 核心法則的適用性
- 上述修習原則普遍適用於八支聖道的每一支分
- 每一支分的修習都應遵循相同的根本方法
- 透過相同方法的持續修習，能達成各種修行成果

582.1. 八聖道的核心修行原則
582.1.1 修行八聖道的基本方法
- 修行八聖道的每一支分時，都應基於三項原則：遠離、離貪、滅盡。
- 修行的最終方向是達到捨的狀態。
582.1.2 八聖道的具體內容
- 正見
- 正思惟
- 正語
- 正業
- 正命
- 正精進
- 正念
- 正定
582.2. 八聖道的廣泛效益
582.2.1 圓滿一切修行道品
- 持續修習八聖道，能夠全面且圓滿地修習所有重要的修行項目。
- 這些項目包括：四念處、四正勤、四神足、五根、五力、七覺支。
582.2.2 消除惡不善法
- 持續修習八聖道，能夠使惡不善法迅速消失。
- 其效果如同烏雲能平息狂風，或大雨能滌淨塵埃。

583.1. 八支聖道之修習法則
583.1.1 修習之根本原則
- 修習應基於三項原則：遠離、離貪、滅盡，最終皆迴向於捨。
583.1.2 八支聖道之具體內容
- 正見、正思惟、正語、正業、正命、正精進、正念、正定：皆依遠離、離貪、滅盡，迴向於捨而修習。
583.2. 修習八支聖道之核心效益
583.2.1 損耗煩惱結縛
- 持續修習能令諸結自然損耗與腐敗。
583.2.2 確立解脫方向
- 修習者之心長久趨向遠離，便不會退轉向下。
583.3. 四類應證知與實踐之法
583.3.1 應遍知之法
- 五取蘊：色取蘊、受取蘊、想取蘊、行取蘊、識取蘊。
583.3.2 應斷除之法
- 無明與有愛。
583.3.3 應現證之法
- 明與解脫。
583.3.4 應修習之法
- 寂止與正觀。
583.4. 法則之應用
583.4.1 普遍應用於四類法
- 透過修習八支聖道，能正確地：
    - 證知並完全了知應遍知之法。
    - 證知並徹底斷除應斷除之法。
    - 證知並當下證得應現證之法。
    - 證知並持續修習應修習之法。

584.1. 根本煩惱統攝法則
584.1.1 三毒為根本
- 貪：欲尋、欲漏、欲有、貪礙、貪垢、貪搖、欲愛
- 瞋：瞋礙、瞋垢、瞋搖
- 癡：無明漏、癡礙、癡垢、癡搖
584.1.2 存在形態三類
- 欲界繫：欲尋、欲漏、欲有、欲愛
- 色界繫：有尋、有漏、色有、有愛
- 無色界繫：梵行尋、無色有、非有愛
584.1.3 心理活動三態
- 比較心：我是勝、我是等、我是劣
- 感受性：樂受、苦受、不苦不樂受
- 苦迫相：苦苦、行苦、壞苦
584.2. 修行道次第
584.2.1 修習原則
- 依遠離
- 依離貪
- 依滅盡
- 迴向於捨
584.2.2 具體實踐
- 正見、正思惟
- 正語、正業、正命
- 正精進、正念、正定
584.3. 解脫進程
584.3.1 認知階段
- 證知
- 徧知
584.3.2 斷除階段
- 徧盡
- 斷
584.4. 終極目標
584.4.1 煩惱調伏
- 究盡貪欲
- 究盡瞋恚
- 究盡愚癡
584.4.2 涅槃成就
- 趣向涅槃
- 傾向涅槃
- 臨入涅槃
- 究竟不死
- 趣向不死
- 究盡不死

585.1. 束縛的分類與解脫方法
585.1.1 四種主要束縛
- 瀑流：欲流、有流、見流、無明流。
- 軛：欲軛、有軛、見軛、無明軛。
- 取：欲取、見取、戒禁取、我語取。
- 繫：貪身繫、瞋身繫、戒禁取身繫、此實執身繫。
585.1.2 七種隨眠煩惱
- 欲貪隨眠、瞋隨眠、見隨眠、疑隨眠、慢隨眠、有貪隨眠、無明隨眠。
585.1.3 五種感官欲望
- 眼所識之色、耳所識之聲、鼻所識之香、舌所識之味、身所識之觸，這些都是可樂、可愛、可意、引欲、可染的。
585.1.4 五種心靈障蓋
- 欲貪蓋、瞋恚蓋、惛眠蓋、掉悔蓋、疑惑蓋。
585.1.5 五種執取積聚
- 色取蘊、受取蘊、想取蘊、行取蘊、識取蘊。
585.1.6 五種下分結縛
- 有身見、疑惑、戒禁取、欲貪、瞋恚。
585.1.7 五種上分結縛
- 色貪、無色貪、慢、掉舉、無明。
585.2. 解脫的途徑：八支聖道
585.2.1 修習八支聖道以斷除束縛
- 為證知、徧知、徧盡、斷除所有上述束縛，應修習八支聖道。
585.3. 八支聖道的修習要點
585.3.1 修習的根本原則
- 依遠離、依離貪、依滅盡，迴向於捨來修習。
585.3.2 八支聖道的具體內容
- 正見、正思惟、正語、正業、正命、正精進、正念、正定。
585.3.3 修習的終極導向
- 調伏究盡欲貪、瞋恚、愚癡，究竟不死，趣向涅槃，傾向涅槃，臨入涅槃。

586.1. 修行成就的根本法則
586.1.1 修行成就的比喻法則
- 如同雪山能滋養大象，使其身形與力量增長，最終能適應廣大海洋
- 修行者亦需依靠穩固基礎，逐步修持以成就廣大功德
586.1.2 修行成就的實踐法則
- 必須以戒律為根本基礎
- 在此基礎上修習七種覺支
- 透過持續不斷的修習，方能於諸法中獲得廣大成就
586.2. 七覺支的修習方法
586.2.1 修習的基本原則
- 依循遠離煩惱、離棄貪欲、滅除雜念的原則
- 所有修習皆迴向於捨離執著的心態
586.2.2 具體修習項目
- 念覺支的修習
- 擇法覺支的修習
- 精進覺支的修習
- 喜覺支的修習
- 輕安覺支的修習
- 定覺支的修習
- 捨覺支的修習
586.3. 完整修行次第
586.3.1 修行基礎建立
- 以戒律為立足點
- 安住於戒律規範中
586.3.2 核心修行實踐
- 系統修習七種覺支
- 持續不斷地深入修習
586.3.3 最終修行成果
- 於一切法中獲得廣大成就

587.1. 五蓋的生起與增長法則
587.1.1 五蓋依食而生
- 五蓋依賴特定的條件（食）才能生起、增長與存在。
- 若斷除這些條件，五蓋便無法生起與存在。
587.1.2 促成各蓋增長的具體條件
- **欲貪**：緣於「淨相」並進行非如理作意。
- **瞋恚**：緣於「瞋相」並進行非如理作意。
- **惛眠**：緣於「不欣喜、倦怠、鬱悶、飽食、心退縮」等狀態並進行非如理作意。
- **掉悔**：緣於「心之非寂止」並進行非如理作意。
- **疑惑**：緣於「疑惑處之法」並進行非如理作意。
587.2. 七覺支的生起與圓滿法則
587.2.1 七覺支依食而生
- 七覺支依賴特定的條件（食）才能生起、增長與存在。
- 若斷除這些條件，七覺支便無法生起與存在。
587.2.2 促成各覺支圓滿的具體條件
- **念覺支**：緣於「念覺支處之法」並進行如理作意。
- **擇法覺支**：緣於「善不善法、有呵責無呵責法、劣勝法、黑白俱分法」並進行如理作意。
- **精進覺支**：緣於「發勤界，精勤界，勤勇界」並進行如理作意。
- **喜覺支**：緣於「喜覺支處之法」並進行如理作意。
- **輕安覺支**：緣於「身輕安、心輕安」並進行如理作意。
- **定覺支**：緣於「寂止相、不亂相」並進行如理作意。
- **捨覺支**：緣於「捨覺支處之法」並進行如理作意。

588.1. 修行成就的基礎
具備戒、定、慧、解脫與解脫智見的修行者，其見、聽聞、詣至、承事、隨念、出家等行為皆能產生廣大效用。
588.2. 修習的預備與起始
588.2.1 聽聞正法後，應依身遠離與心遠離而安住。
588.2.2 安住於遠離時，持續隨念並思惟所聽聞的法義。
588.3. 七覺支的修習次第
588.3.1 念覺支
- 安住於隨念並思惟法義時，念覺支便會生起。
- 修習念覺支達至圓滿，便能安住於正念，並以智慧對法義進行決擇、伺察與觀察。
588.3.2 擇法覺支
- 安住於正念並以智慧觀察法義時，擇法覺支便會生起。
- 修習擇法覺支達至圓滿，便能以智慧決擇、伺察、觀察法義，並生起不退轉的精進。
588.3.3 精進覺支
- 以智慧觀察法義並生起不退精進時，精進覺支便會生起。
- 修習精進覺支達至圓滿，便能生起遠離欲望的喜悅。
588.3.4 喜覺支
- 發起精進並獲得離欲之喜時，喜覺支便會生起。
- 修習喜覺支達至圓滿，心意充滿喜悅，進而獲得身體與內心的輕安。
588.3.5 輕安覺支
- 心意喜悅並獲得身心輕安時，輕安覺支便會生起。
- 修習輕安覺支達至圓滿，身體輕安能帶來樂受，樂受能引生心念的安定。
588.3.6 定覺支
- 身體輕安獲得樂受與心念安定時，定覺支便會生起。
- 修習定覺支達至圓滿，能獲得穩固的心定，並成為善於觀察者。
588.3.7 捨覺支
- 獲得穩固心定並成為善於觀察者時，捨覺支便會生起。
- 修習捨覺支達至圓滿。
588.4. 修習七覺支的七種果報
若能如此修習並廣泛實踐七覺支，可預期獲得七種果報功德：
- 4.1 於此生中證得開悟。
- 4.2 若此生未開悟，則於命終時證得開悟。
- 4.3 若前二者未達成，則因斷除五下分結而證得中般涅槃。
- 4.4 若未證中般涅槃，則因斷除五下分結而證得生般涅槃。
- 4.5 若未證生般涅槃，則因斷除五下分結而證得無行般涅槃。
- 4.6 若未證無行般涅槃，則因斷除五下分結而證得有行般涅槃。
- 4.7 若前述皆未達成，則因斷除五下分結，將上昇直至色究竟天。

589.1. 七覺支的定義與內容
589.1.1 七覺支的組成
- 念覺支
- 擇法覺支
- 精進覺支
- 喜覺支
- 輕安覺支
- 定覺支
- 捨覺支
589.2. 修習七覺支的核心法則
589.2.1 隨意修習法則
- 修習者能於任何時段，依其意願專注修習任一覺支。
589.2.2 覺知三相法則
- 對於任一覺支，修習者需清晰覺知其三種狀態：
    - 覺知該覺支已確定生起。
    - 覺知該覺支已妥善生起並持續住留。
    - 覺知該覺支因特定因緣而消退。
589.3. 法則的具體應用
589.3.1 應用於所有覺支
- 上述「隨意修習法則」與「覺知三相法則」普遍適用於全部七種覺支的修習過程。

590.1. 七覺支的定義與核心修習法則
590.1.1 七覺支的定義
- 七覺支之所以稱為覺支，是因為它們是覺悟的構成要素，能資助修行者達到覺悟。
590.1.2 核心修習法則
- 修習任何一個覺支，都必須遵循相同的根本法則：
    - 依於遠離
    - 依於離貪
    - 依於滅盡
    - 迴向於捨
590.2. 七覺支的具體內容
590.2.1 七覺支清單
- 念覺支
- 擇法覺支
- 精進覺支
- 喜覺支
- 輕安覺支
- 定覺支
- 捨覺支
590.3. 法則的普遍應用
590.3.1 法則應用於各覺支
- 上述核心修習法則，普遍且平等地應用於修習全部七個覺支。
590.4. 修習七覺支的成果
590.4.1 心解脫
- 透過修習七覺支，心能從三種束縛中解脫出來：
    - 從欲漏中解脫
    - 從有漏中解脫
    - 從無明漏中解脫
590.4.2 究竟解脫之智
- 心解脫後，會生起「我已解脫」的智慧，並能了知：
    - 生死之流已盡
    - 清淨修行已確立
    - 應作之事已完成
    - 不再有未來的生死輪迴

591.1. 修行目標與核心法則
591.1.1 最終目標：明解脫
- 修行體系的終極目標是達到明解脫的圓滿境界。
591.1.2 核心修行法則：次第圓滿
- 所有修行方法構成一個緊密關聯的體系。
- 每一階段的圓滿，是下一階段得以圓滿的基礎。
591.2. 修行體系次第
591.2.1 根律儀圓滿三善業
- 修習與多習根律儀，能圓滿三善業。
591.2.2 三善業圓滿四念處
- 修習與多習三善業，能圓滿四念處。
591.2.3 四念處圓滿七覺支
- 修習與多習四念處，能圓滿七覺支。
591.2.4 七覺支圓滿明解脫
- 修習與多習七覺支，能圓滿明解脫。
591.3. 各階段修行方法詳解
591.3.1 根律儀的實踐
- 六根接觸外境時保持內心安定。
- 面對可意之境：不生貪著、歡喜與貪欲，身心安住，內在善解脫。
- 面對非可意之境：心不動搖、不困擾、不反感，身心安住，內在善解脫。
591.3.2 三善業的實踐
- 斷除身、語、意三方面的惡業。
- 修習身、語、意三方面的善業。
591.3.3 四念處的實踐
- 於身觀身而住，以熱誠、正念、正知，調伏世間貪憂。
- 於受觀受而住，以熱誠、正念、正知，調伏世間貪憂。
- 於心觀心而住，以熱誠、正念、正知，調伏世間貪憂。
- 於法觀法而住，以熱誠、正念、正知，調伏世間貪憂。
591.3.4 七覺支的實踐
- 依遠離、依離貪、依滅盡，迴向於捨，修習念覺支、擇法覺支、精進覺支、喜覺支、輕安覺支、定覺支、捨覺支。

592.1. 七覺支修習的涅槃導向
- 修習七覺支並持續多修，能使人趣向涅槃、傾向涅槃、臨入涅槃。
592.2. 七覺支的修習方法
- 修習念覺支、擇法覺支、精進覺支、喜覺支、輕安覺支、定覺支、捨覺支時，皆應依循以下原則：
    - 依遠離
    - 依離貪
    - 依滅盡
    - 迴向於捨

593.1. 七覺支修習總綱
- 透過內在如理作意善巧升起七覺支，可成就安樂住。
593.2. 七覺支修習要領
593.2.1 覺支升起之認知
- 修習任一覺支時，應清楚認知：
  - 心已達善解脫狀態
  - 已徹底斷除惛沉睡眠
  - 已完全調伏掉舉追悔
  - 已生起精進、希求、作意而不退縮
593.2.2 具體修習項目
- 念覺支修習
- 擇法覺支修習
- 精進覺支修習
- 喜覺支修習
- 輕安覺支修習
- 定覺支修習
- 捨覺支修習
593.3. 修習成就確認
- 透過如理作意善巧修習七覺支，即能確認達成安樂住。

594.1. 七覺支生起之總法則
594.1.1 核心法則
- 修習並多修七覺支，能使未生起的覺支得以生起。
- 此法則僅有一例外情況：如來、應供、正等覺者不出現於世時。
594.1.2 七覺支清單
- 念覺支
- 擇法覺支
- 精進覺支
- 喜覺支
- 輕安覺支
- 定覺支
- 捨覺支

595.1. 修習七覺支的基礎與方法
595.1.1 修習基礎
- 以戒律為根本基礎
- 親近善友為修習前兆
- 如理作意為修習前兆
595.1.2 修習方法
- 依遠離而修
- 依離貪而修  
- 依滅盡而修
- 迴向於捨而修
595.2. 七覺支的具體內容
- 念覺支
- 擇法覺支
- 精進覺支
- 喜覺支
- 輕安覺支
- 定覺支
- 捨覺支
595.3. 修習七覺支的利益
595.3.1 根本利益
- 資助證知真理
- 資助等正覺
- 資助涅槃解脫
595.3.2 具體利益
- 資助到彼岸
- 資助厭患世間
- 資助離貪欲
- 資助滅盡煩惱
- 資助寂止安寧
- 不失正順苦滅之聖道
- 成就聖道出離
- 正達苦滅盡
595.4. 修習要點
- 需要持續修習
- 需要廣泛修習
- 七覺支需全面修習

596.1. 七覺支的定義與組成
- 七覺支是導向覺悟的七種要素，因能資助覺悟而得名。
- 具體組成如下：
  - 念覺支
  - 擇法覺支
  - 精進覺支
  - 喜覺支
  - 輕安覺支
  - 定覺支
  - 捨覺支
596.2. 七覺支的修習原則
- 修習所有覺支時，皆應基於三項核心原則：
  - 依遠離
  - 依離貪
  - 依滅盡
  - 最終迴向於捨
596.3. 作意對心態的影響法則
- 心念的關注點，決定相應心態的增長或消滅。
- 若持續關注助長不善之法的對象，則：
  - 未生的不善法會生起。
  - 已生的不善法會增長擴大。
- 若持續關注助長覺支的對象，則：
  - 未生的覺支會生起。
  - 已生的覺支會修習圓滿。
- 此法則普遍適用於以下具體心態：
596.3.1 受關注而增長的不善法
- 欲貪
- 瞋恚
- 惛眠
- 掉悔
- 疑惑
596.3.2 受關注而增長的善法（七覺支）
- 念覺支
- 擇法覺支
- 精進覺支
- 喜覺支
- 輕安覺支
- 定覺支
- 捨覺支
596.4. 如理作意與非如理作意的結果
- 非如理作意（錯誤的思維方式）會導致不善法生起增長，並使覺支不生或滅失。
- 如理作意（正確的思維方式）會導致不善法不生或斷除，並使覺支生起與修習圓滿。
596.5. 七覺支的功能與效益
- 七覺支是導向解脫的不損之法。
- 修習七覺支是導致渴愛滅盡的道路與方法。
- 透過修習七覺支，能達成以下解脫過程：
  - 渴愛斷除
  - 業斷除
  - 苦斷除
596.6. 七覺支的決擇作用
- 修習七覺支能產生決擇的智慧。
- 此智慧能穿透並破除之前未能洞察的煩惱積聚：
  - 貪蘊
  - 瞋蘊
  - 癡蘊
596.7. 七覺支對治結縛
- 修習七覺支有助於斷除一切結縛法。
- 結縛法是指能產生束縛與執著的感官與心識：
  - 眼
  - 耳
  - 鼻
  - 舌
  - 身
  - 意

597.1. 根本修行原則
597.1.1 不放逸與如理作意為根本
- 一切善法的根本在於不放逸與如理作意
- 不放逸與如理作意是所有善法中最重要的
- 基於不放逸與如理作意，得以修習並充分發展七覺支
597.2. 心靈障礙與淨化方法
597.2.1 五種心靈障礙
- 欲貪、瞋恚、惛眠、掉悔、疑惑：污染心靈，使心不柔軟、不清淨
597.2.2 五蓋的危害特性
- 使心靈黑暗無明
- 消滅智慧
- 導致損壞毀滅
- 阻礙達到涅槃
- 覆蔽心靈，使智慧衰弱
597.3. 七覺支的修習與利益
597.3.1 七覺支的組成
- 念覺支、擇法覺支、精進覺支、喜覺支、輕安覺支、定覺支、捨覺支
597.3.2 七覺支的修習方法
- 依遠離而修習
- 依離貪而修習
- 依滅盡而修習
- 迴向於捨而修習
597.3.3 七覺支的利益
- 無障礙、無覆蓋、無心靈煩惱
- 助於增長而不損減
- 成為明眼與智慧
- 增長智慧
- 不損壞
- 有助於達到涅槃
- 助於明解脫果的現證
597.4. 修行實踐的要點
597.4.1 如理作意的影響
- 不如理作意會使未生的五蓋生起，已生的五蓋增長
- 如理作意會使未生的七覺支生起，已生的七覺支圓滿
597.4.2 清除障礙的狀態
- 當心念專注、傾聽正法時，五蓋不存在
- 在此狀態下，七覺支得以修習圓滿

598.1. 七覺支的普遍性與根本地位
598.1.1 三世修行者之共法
- 過去、現在、未來的沙門與婆羅門，凡是斷除三類煩惱者，皆因修習與多修七覺支而成就。
598.1.2 覺者出現之標誌
- 如來出現於世間時，會顯現七覺支寶，如同轉輪王出現時會顯現七種世間寶物。
598.2. 七覺支的定義與功能
598.2.1 七覺支的組成
- 念覺支、擇法覺支、精進覺支、喜覺支、輕安覺支、定覺支、捨覺支。
598.2.2 七覺支的核心作用
- 此七覺支是摧伏魔軍的正道。
- 不修習、不多修七覺支，即稱為愚癡啞羊、貧窮。
- 修習、多修七覺支，即稱為有慧不啞、不貧。
598.3. 七覺支的實踐方法
598.3.1 修習的根本原則
- 修習任一覺支時，皆應依循三項原則：依遠離、依離貪、依滅盡，迴向於捨。
598.4. 生起七覺支的關鍵條件
598.4.1 內在關鍵條件
- 內在條件中，最關鍵的是如理作意。具足如理作意者，得以修習與多修七覺支。
598.4.2 外在關鍵條件
- 外在條件中，最關鍵的是親近善友。有善友者，得以修習與多修七覺支。善友如同日輪升起前的曙光，是七覺支生起的前兆。

599.1. 五蓋與七覺支的增長法則
- 五蓋的增長依賴於對特定對象進行錯誤的思維。
- 七覺支的增長依賴於對特定對象進行正確的思維。
599.1.1 增長對象的分類
- 欲貪相關：淨相（增長欲貪）；不淨相（抑制欲貪）
- 瞋恚相關：瞋相（增長瞋恚）；慈心解脫（抑制瞋恚）
- 惛眠相關：不欣喜、倦怠、鬱悶、飽食、心退縮（增長惛眠）；發勤界、精勤界、勤勇界（抑制惛眠/增長精進覺支）
- 掉悔相關：心之非寂止（增長掉悔）；心之寂止（抑制掉悔/增長定覺支）
- 疑惑相關：疑惑處之法（增長疑惑）；善不善法、有呵責無呵責法、劣勝法、黑白俱分法（抑制疑惑/增長擇法覺支）
- 覺支專屬：念覺支處之法、喜覺支處之法、捨覺支處之法、身輕安心輕安、寂止相不亂相
599.2. 思維方式對心靈狀態的影響法則
- 正確思維特定對象：抑制五蓋，增長七覺支
- 錯誤思維特定對象：增長五蓋，抑制七覺支
599.2.1 思維方式的具體應用
- 對同一對象的不同思維產生相反效果：
  * 發勤界、精勤界、勤勇界：正確思維增長精進覺支，錯誤思維抑制精進覺支
  * 善不善法等：正確思維增長擇法覺支/抑制疑惑，錯誤思維抑制擇法覺支/增長疑惑
  * 心之寂止：正確思維增長定覺支/抑制掉悔，錯誤思維抑制定覺支/增長掉悔
- 對專屬對象的思維決定覺支狀態：
  * 念覺支處之法、喜覺支處之法、捨覺支處之法、身輕安心輕安、寂止相不亂相：正確思維增長對應覺支，錯誤思維抑制對應覺支

600.1. 五蓋分為十種的理趣
600.1.1 欲貪蓋的分類
- 內在的欲貪是障礙
- 外在的欲貪是障礙
600.1.2 瞋恚蓋的分類
- 內在的瞋恚是障礙
- 外在的瞋恚是障礙
600.1.3 惛眠蓋的分類
- 精神沉沒是障礙
- 睡眠是障礙
600.1.4 掉悔蓋的分類
- 內心浮躁是障礙
- 追悔是障礙
600.1.5 疑惑蓋的分類
- 對內在法的疑惑是障礙
- 對外在法的疑惑是障礙
600.2. 七覺支分為十四種的理趣
600.2.1 念覺支的分類
- 對內在法的覺察
- 對外在法的覺察
600.2.2 擇法覺支的分類
- 對外在法的智慧觀察
- 對內在法的智慧觀察
600.2.3 精進覺支的分類
- 身體的努力
- 心意的努力
600.2.4 喜覺支的分類
- 有思維活動的喜悅
- 無思維活動的喜悅
600.2.5 輕安覺支的分類
- 身體的平靜
- 心意的平靜
600.2.6 定覺支的分類
- 有思維活動的專注
- 無思維活動的專注
600.2.7 捨覺支的分類
- 對內在法的平等心
- 對外在法的平等心

601.1. 七覺支修習總則
601.1.1 心退縮時之修習法則
- 此時應修習擇法覺支、精進覺支、喜覺支。
- 此時不應修習輕安覺支、定覺支、捨覺支。
601.1.2 心掉舉時之修習法則
- 此時應修習輕安覺支、定覺支、捨覺支。
- 此時不應修習擇法覺支、精進覺支、喜覺支。
601.2. 念覺支之通用性
- 念覺支可於一切時機修習。

602.1. 四無量心修習的核心目的
- 斷除心的隨煩惱
- 消除使智慧羸弱的因素
- 斷除五蓋
602.2. 四無量心的基本修習方法
602.2.1 修習的共同基礎
- 以特定心態（慈、悲、喜、捨）俱行
- 遍滿一方、二方、三方、四方
- 遍滿上下傍邊所有一切世間
- 保持廣大、無量、無怨、無瞋的心態
602.2.2 修習的具體心態
- 慈俱行之心：以慈愛為基礎
- 悲俱行之心：以悲憫為基礎
- 喜俱行之心：以歡喜為基礎
- 捨俱行之心：以平等捨為基礎
602.3. 四無量心修習的深層次第
602.3.1 慈心解脫的修習
- 依遠離、依離貪、依滅盡，迴向於捨
- 修習慈俱行的七覺支：
  - 念覺支
  - 擇法覺支
  - 精進覺支
  - 喜覺支
  - 輕安覺支
  - 定覺支
  - 捨覺支
- 成就境界：清淨解脫
- 最高境界：清淨為最勝
602.3.2 悲心解脫的修習
- 依遠離、依離貪、依滅盡，迴向於捨
- 修習悲俱行的七覺支
- 成就境界：虛空無邊處
- 最高境界：虛空無邊處為最勝
602.3.3 喜心解脫的修習
- 依遠離、依離貪、依滅盡，迴向於捨
- 修習喜俱行的七覺支
- 成就境界：識無邊處
- 最高境界：識無邊處為最勝
602.3.4 捨心解脫的修習
- 依遠離、依離貪、依滅盡，迴向於捨
- 修習捨俱行的七覺支
- 成就境界：無所有處
- 最高境界：無所有處為最勝
602.4. 修習成就的智慧特質
- 每種解脫都有其特定的最高境界
- 修行者未通達更上解脫時，具有相應層次的智慧
- 各層次解脫都有其特定的慧

603.1. 心識狀態與智慧對應法則
603.1.1 心識受染則智慧不顯
- 心識被煩惱纏繞且持續處於煩惱狀態
- 對已生起煩惱如何出離不能清楚認識
- 無法清楚認識自己、他人及彼此的真實利益
- 長期學習經典亦無法成就真實智慧
603.1.2 心識清淨則智慧自然
- 心識不被煩惱纏繞且不持續處於煩惱狀態
- 對已生起煩惱如何出離能夠清楚認識
- 能清楚認識自己、他人及彼此的真實利益
- 不長期學習經典亦能成就真實智慧
603.2. 五種心識狀態特質歸納
603.2.1 煩惱染著狀態
- 欲貪：混入雜色的濁水，無法清晰映照
- 瞋恚：沸騰翻湧的熱水，無法平靜觀照
- 惛眠：被水草覆蓋的水面，無法清楚顯現
- 掉悔：被風吹動的水面，無法穩定映現
- 疑惑：混濁置於暗處的水，無法明亮照見
603.2.2 清淨無染狀態
- 無欲貪：清澈無雜質，能清晰映照
- 無瞋恚：平靜不沸騰，能安穩觀照
- 無惛眠：明亮無覆蓋，能清楚顯現
- 無掉悔：穩定無波動，能如實映現
- 無疑惑：澄明處明處，能明亮照見
603.3. 覺悟要素修習體系
603.3.1 要素根本特性
- 無障礙、無覆蓋、無心識干擾煩惱
- 修習與多次修習能助成智慧與解脫
603.3.2 七種具體要素
- 念覺支：保持清醒覺知
- 擇法覺支：辨別真理
- 精進覺支：努力修行
- 喜覺支：內心歡喜
- 輕安覺支：身心安穩
- 定覺支：心念專注
- 捨覺支：平等放下

604.1. 無智與無見的成因
604.1.1 無智與無見有因有緣
- 無智與無見並非無因無緣，而是有具體的成因。
604.1.2 五蓋是無智的具體成因
- 當心被欲貪、瞋恚、惛眠、掉悔、疑惑所纏繞，無法如實知見出離其道時，即是無智之因。
604.2. 智與見的成因
604.2.1 智與見有因有緣
- 智與見並非無因無緣，而是有具體的成因。
604.2.2 七覺支是智的具體成因
- 依遠離、依離貪、依滅盡，迴向於捨，修習念、擇法、精進、喜、輕安、定、捨覺支，能生起如實知見，此為智之因。

605.1. 觀想修習的普遍利益
   修習並多修習特定觀想，能帶來多種殊勝利益，包括大果報大功德、證得兩種果位之一、成就大義利、獲得大安穩、生起大厭離心，以及導向大樂住。
605.2. 成就利益的修行方法
   所有觀想利益的成就，皆透過同一核心修行方法達成。此方法是：基於遠離、基於離貪、基於滅盡，迴向於捨，來修習與該觀想俱行的七覺支。
605.3. 七覺支的修習內容
   七覺支是修行此法的具體內容，需逐一修習：
   - 念覺支
   - 擇法覺支
   - 精進覺支
   - 喜覺支
   - 輕安覺支
   - 定覺支
   - 捨覺支
605.4. 適用的觀想主題
   此修行方法普遍適用於以下十種觀想：
   - 骨想
   - 噉想
   - 青瘀想
   - 壞想
   - 膨脹想
   - 慈想
   - 悲想
   - 喜想
   - 捨想
   - 入出息想

606.1. 修習滅想的基礎與方法
606.1.1 觀想主題
- 不淨想
- 死想
- 食違逆想
- 一切世間不可樂想
- 無常想
- 無常苦想
- 苦無我想
- 斷想
- 離貪想
- 滅想
606.1.2 修習法則
- 依遠離、依離貪、依滅盡，迴向於捨
- 修習滅想俱行之七覺支
606.2. 實踐成果與構成要素
606.2.1 根本利益
- 大果大功德
- 大義利
- 大安穩
- 大厭背
- 大樂住
606.2.2 七覺支內容
- 念覺支
- 擇法覺支
- 精進覺支
- 喜覺支
- 輕安覺支
- 定覺支
- 捨覺支

607.1. 七覺支修習的根本法則
607.1.1 修習的基礎與方向
- 修習應基於遠離、離貪、滅盡，並迴向於捨，此方向能導向涅槃。
607.1.2 七覺支的內容
- 念覺支
- 擇法覺支
- 精進覺支
- 喜覺支
- 輕安覺支
- 定覺支
- 捨覺支
607.2. 解脫煩惱的普遍應用
607.2.1 對治一切束縛的核心法則
- 為證知、徧知、徧盡、斷除煩惱束縛，應修習七覺支，此為解脫一切束縛的根本方法。
607.3. 煩惱束縛的具體類型
607.3.1 四種瀑流
- 欲流
- 有流
- 見流
- 無明流
607.3.2 五種上分結
- 色貪
- 無色貪
- 慢
- 掉舉
- 無明
607.3.3 三種尋覓
- 欲尋
- 有尋
- 梵行尋
607.4. 善法的根本
607.4.1 不放逸的基礎地位
- 一切善法皆以不放逸為根本，不放逸是諸法中最上者。

608.1. 七覺支的修習與涅槃導向
608.1.1 核心法則：修習七覺支則導向涅槃
- 修習七覺支、多修七覺支者，則趣向涅槃、傾向涅槃、臨入涅槃。
